Order_Date,Customer_ID,Order_ID,Quantity,City,District,Catalog_Number,Hebrew_Description,English_Description,Added_Date,Family_Item_ID,Family_Item_Name,Sales_Price_No_VAT,Sales_Price_With_VAT,Cost_Price,Cost_Import_USD,Cost_Production_USD,Size,Color_ID,Color_Name
9/13/2022,100822,SO22000942,1,Ma'ale Iron,חיפה,NHRU403-XL-3,חלוק אמבטיה  כחול 100% כותנה אקווה פיברו XL,"Bath robe 100% cotton Aqua fibro  BLUE SIZE XL""",5/31/2021,חלוקים,חלוקי אמבטיה אקווה פיברו,427,499,21,0,0,XL,3,CURDS & WHEY
9/13/2022,100822,SO22000942,1,Jérusalem,ירושלים,NHRU403-XL-3,חלוק אמבטיה  כחול 100% כותנה אקווה פיברו XL,"Bath robe 100% cotton Aqua fibro  BLUE SIZE XL""",5/31/2021,חלוקים,חלוקי אמבטיה אקווה פיברו,427,499,21,0,0,XL,3,CURDS & WHEY
9/13/2022,100823,SO22000943,2,Jérusalem,ירושלים,NHB5340-9-3,"סט 100% כותנה סטן 220 90 סמ NIGHT SAILING""",100% CTS. 220 200x220+90x200+2x50x70 NIGHT SAILI,5/30/2021,220S,סאטן 220,401,469,0,67,0,90/200,3,CURDS & WHEY
9/13/2022,100824,SO22000944,1,Haïfa,חיפה,NHB7005-1-2,זוג ציפיות סטן 300 לבן,2 PILLOW CASE 100% SATIN 300 WHITE PIPING BLUE,5/31/2021,300S,סאטן 300,170,199,0,0,0,50/70,2,PAGEANT BLUE
9/13/2022,100824,SO22000944,1,Haïfa,חיפה,NHBM3501-1-17,שטיח אמבטיה לוגו 100% כותנה 50/80 1000גר' אפור בהיר,,3/1/2022,אמבטיה,שטיחוני אמבטיה,85,99,4,4,0,50/80,17,Peach Pink
9/13/2022,100825,SO22000945,1,Jérusalem,ירושלים,NHB1001-16-3,"סט 100% כותנה סטן 220 160 סמ  BASIC BLUE""",100% CTS. 220 200x220+160x200+2x50x70 BASIC BLUE,5/31/2021,220B,סאטן 220 בסיק,512,599,28,0,0,160/200,3,CURDS & WHEY
9/13/2022,100825,SO22000945,1,Jérusalem,ירושלים,NHB5225-9-3,"סט 100% כותנה סטן 220 90 סמ MIDNIGHT OCEAN""",100% CTS. 220 200x220+90x200+2x50x70 MIDNIGHT,5/31/2021,220S,סאטן 220,401,469,0,0,0,90/200,3,CURDS & WHEY
9/13/2022,100826,SO22000946,1,Nesher,חיפה,NHBM3501-1-17,שטיח אמבטיה לוגו 100% כותנה 50/80 1000גר' אפור בהיר,,3/1/2022,אמבטיה,שטיחוני אמבטיה,85,99,4,4,0,50/80,17,Peach Pink
9/13/2022,100826,SO22000946,1,Nesher,חיפה,NHKT1002-1-20,"מארז 2 מגבות מטבח כחול/לבן 60/40 סמ""",,3/1/2022,מטבח,מגבות מטבח,59,69,3,3,0,60/40,20,SILVER
9/13/2022,100827,SO22000947,1,Tel Aviv-Jaffa,תל אביב,NHD1002-22-2,שמיכת פוך פייפינג כיסוי 100% כותנה מיקרופייבר 600 גר' 200/2,600GSM PREMIUM MICROFIBER BLANKET BLUE PIPING 22,5/31/2021,שמיכות,שמיכות,683,799,23,0,0,200/220,2,PAGEANT BLUE
